QStrength	Quantifier	Arg1	Pred	Arg2	Sentence	Score	Canonical?	Multiword?	Inferred?	Domain	Range	Provenance
0.33	some	aerial	is-part-of	telly	Some aerials are part of tellies.	-	y	n	n	device_n1	equipment_n1	WordNet3.0
0.33	some	aerial	is-part-of	tv	Some aerials are part of tv.	-	y	n	n	device_n1	equipment_n1	WordNet3.0
0.50	some	Afghanistan	is-part-of	Asia	Some Afghanistan is part of Asia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Afghanistan	is-part-of	Eurasia	Some Afghanistan is part of Eurasia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	air space	is-part-of	atmosphere	Some air space is part of atmospheres.	-	y	n	n	Thing	location_n1	WordNet3.0
0.50	some	air space	is-part-of	world	Some air space is part of worlds.	-	y	n	n	Thing	Thing	WordNet3.0
0.20	some	air bag	is-part-of	ambulance	Some air bags are part of ambulances.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.20	some	air bag	is-part-of	auto	Some air bags are part of autos.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.20	some	air bag	is-part-of	automobile	Some air bags are part of automobiles.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.20	some	air bag	is-part-of	car	Some air bags are part of cars.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.20	some	air bag	is-part-of	taxi	Some air bags are part of taxis.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.12	some	aircraft engine	is-part-of	aeroplane	Some aircraft engines are part of aeroplanes.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.12	some	aircraft engine	is-part-of	aircraft	Some aircraft engines are part of aircraft.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.12	some	aircraft engine	is-part-of	airplane	Some aircraft engines are part of airplanes.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.12	some	aircraft engine	is-part-of	chopper	Some aircraft engines are part of choppers.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.12	some	aircraft engine	is-part-of	glider	Some aircraft engines are part of gliders.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.12	some	aircraft engine	is-part-of	helicopter	Some aircraft engines are part of helicopters.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.12	some	aircraft engine	is-part-of	jet	Some aircraft engines are part of jets.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.12	some	aircraft engine	is-part-of	plane	Some aircraft engines are part of planes.	-	y	n	n	Thing	transport_n1	WordNet3.0
0.50	some	airway	is-part-of	body	Some airways are part of bodies.	-	y	n	n	body_part_n1	Thing	WordNet3.0
0.50	some	airway	is-part-of	neck	Some airways are part of necks.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	Alabama	is-part-of	America	Most Alabama is part of America.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	Alaska	is-part-of	America	Most Alaska is part of America.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	Albania	is-part-of	Europe	Most Albania is part of Europe.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	Albany	is-part-of	America	Most Albany is part of America.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	Alberta	is-part-of	Canada	Most Alberta is part of Canada.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	Algeria	is-part-of	Africa	Most Algeria is part of Africa.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	alveolus	is-part-of	lung	Most alveoluses are part of lungs.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
0.50	some	Amarillo	is-part-of	America	Some Amarillo is part of America.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Amarillo	is-part-of	Texas	Some Amarillo is part of Texas.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	Amazon	is-part-of	Peru	Most Amazon is part of Peru.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	ananas	is-part-of	pineapple	Most ananases are part of pineapples.	-	y	n	n	plant_part_n1	plant_n2	WordNet3.0
0.50	some	anaphase	is-part-of	meiosis	Some anaphase is part of meiosis.	-	y	n	n	period_n1	Thing	WordNet3.0
0.50	some	anaphase	is-part-of	nondisjunction	Some anaphase is part of nondisjunction.	-	y	n	n	period_n1	Thing	WordNet3.0
0.06	some	anchor	is-part-of	ark	Some anchors are part of arks.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	boat	Some anchors are part of boats.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	canoe	Some anchors are part of canoes.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	dinghy	Some anchors are part of dinghies.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	frigate	Some anchors are part of frigates.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	houseboat	Some anchors are part of houseboats.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	kayak	Some anchors are part of kayaks.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	lifeboat	Some anchors are part of lifeboats.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	motorboat	Some anchors are part of motorboats.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	sailboat	Some anchors are part of sailboats.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	scull	Some anchors are part of sculls.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	ship	Some anchors are part of ships.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	shipwreck	Some anchors are part of shipwrecks.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	steamer	Some anchors are part of steamers.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	submarine	Some anchors are part of submarines.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	tanker	Some anchors are part of tankers.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.06	some	anchor	is-part-of	yacht	Some anchors are part of yachts.	-	y	n	n	device_n1	transport_n1	WordNet3.0
0.50	some	Andorra	is-part-of	Eurasia	Some Andorra is part of Eurasia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Andorra	is-part-of	Europe	Some Andorra is part of Europe.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	Angola	is-part-of	Africa	Most Angola is part of Africa.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Angolan capital	is-part-of	Africa	Some Angolan capital is part of Africa.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Angolan capital	is-part-of	Angola	Some Angolan capital is part of Angola.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	ankle	is-part-of	body	Some ankles are part of bodies.	-	y	n	n	body_part_n1	Thing	WordNet3.0
0.50	some	ankle	is-part-of	leg	Some ankles are part of legs.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
0.33	some	antenna	is-part-of	receiver	Some antennas are part of receivers.	-	y	n	n	device_n1	equipment_n1	WordNet3.0
0.33	some	antenna	is-part-of	telly	Some antennas are part of tellies.	-	y	n	n	device_n1	equipment_n1	WordNet3.0
0.33	some	antenna	is-part-of	tv	Some antennas are part of tv.	-	y	n	n	device_n1	equipment_n1	WordNet3.0
0.17	some	anther	is-part-of	blossom	Some anthers are part of blossoms.	-	y	n	n	plant_part_n1	plant_part_n1	WordNet3.0
0.17	some	anther	is-part-of	bud	Some anthers are part of buds.	-	y	n	n	plant_part_n1	plant_part_n1	WordNet3.0
0.17	some	anther	is-part-of	catkin	Some anthers are part of catkins.	-	y	n	n	plant_part_n1	plant_part_n1	WordNet3.0
0.17	some	anther	is-part-of	floret	Some anthers are part of florets.	-	y	n	n	plant_part_n1	plant_part_n1	WordNet3.0
0.17	some	anther	is-part-of	flower	Some anthers are part of flowers.	-	y	n	n	plant_part_n1	plant_part_n1	WordNet3.0
0.17	some	anther	is-part-of	stamen	Some anthers are part of stamens.	-	y	n	n	plant_part_n1	plant_part_n1	WordNet3.0
0.10	some	antler	is-part-of	brocket	Some antlers are part of brockets.	-	y	n	n	body_part_n1	animal_n1	WordNet3.0
0.10	some	antler	is-part-of	caribou	Some antlers are part of caribou.	-	y	n	n	body_part_n1	animal_n1	WordNet3.0
0.10	some	antler	is-part-of	deer	Some antlers are part of deer.	-	y	n	n	body_part_n1	animal_n1	WordNet3.0
0.10	some	antler	is-part-of	elk	Some antlers are part of elk.	-	y	n	n	body_part_n1	animal_n1	WordNet3.0
0.10	some	antler	is-part-of	fawn	Some antlers are part of fawns.	-	y	n	n	body_part_n1	animal_n1	WordNet3.0
0.10	some	antler	is-part-of	moose	Some antlers are part of moose.	-	y	n	n	body_part_n1	animal_n1	WordNet3.0
0.10	some	antler	is-part-of	muntjac	Some antlers are part of muntjacs.	-	y	n	n	body_part_n1	animal_n1	WordNet3.0
0.10	some	antler	is-part-of	reindeer	Some antlers are part of reindeer.	-	y	n	n	body_part_n1	animal_n1	WordNet3.0
0.10	some	antler	is-part-of	sambar	Some antlers are part of sambars.	-	y	n	n	body_part_n1	animal_n1	WordNet3.0
0.10	some	antler	is-part-of	sika	Some antlers are part of sikas.	-	y	n	n	body_part_n1	animal_n1	WordNet3.0
0.50	some	anus	is-part-of	colon	Some anuses are part of colons.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
0.50	some	anus	is-part-of	rectum	Some anuses are part of recta.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
0.50	some	aperture	is-part-of	camera	Some aperture is part of cameras.	-	y	n	n	device_n1	equipment_n1	WordNet3.0
0.50	some	aperture	is-part-of	telescope	Some aperture is part of telescopes.	-	y	n	n	device_n1	device_n1	WordNet3.0
0.33	some	appendix	is-part-of	caecum	Some appendices are part of caecums.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
0.33	some	appendix	is-part-of	cecum	Some appendices are part of cecums.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
0.33	some	appendix	is-part-of	colon	Some appendices are part of colons.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	apron string	is-part-of	apron	Most apron string is part of aprons.	-	y	n	n	Thing	clothing_n1	WordNet3.0
1.00	most	arc	is-part-of	circle	Most arcs are part of circles.	-	y	n	n	shape_n2	shape_n2	WordNet3.0
1.00	most	Arizona	is-part-of	America	Most Arizona is part of America.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	Arkansas	is-part-of	America	Most Arkansas is part of America.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	arm bone	is-part-of	endoskeleton	Most arm bones are part of endoskeletons.	-	y	n	n	Thing	body_part_n1	WordNet3.0
1.00	most	arse	is-part-of	body	Most arses are part of bodies.	-	y	n	n	body_part_n1	Thing	WordNet3.0
0.06	some	artwork	is-part-of	almanac	Some artwork is part of almanacs.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	anthology	Some artwork is part of anthologies.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	atlas	Some artwork is part of atlases.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	book	Some artwork is part of books.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	booklet	Some artwork is part of booklets.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	catalog	Some artwork is part of catalogs.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	cookbook	Some artwork is part of cookbooks.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	dictionary	Some artwork is part of dictionaries.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	encyclopedia	Some artwork is part of encyclopedias.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	glossary	Some artwork is part of glossaries.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	guidebook	Some artwork is part of guidebooks.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	magazine	Some artwork is part of magazines.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	manual	Some artwork is part of manuals.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	phonebook	Some artwork is part of phonebooks.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	primer	Some artwork is part of primer.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	publication	Some artwork is part of publications.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	textbook	Some artwork is part of textbooks.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.06	some	artwork	is-part-of	vocabulary	Some artwork is part of vocabulary.	-	y	n	n	Thing	artifact_n1	WordNet3.0
1.00	most	Asia	is-part-of	Eurasia	Most Asia is part of Eurasia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Asian country	is-part-of	Asia	Some Asian countries are part of Asia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Asian country	is-part-of	Eurasia	Some Asian countries are part of Eurasia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Asian nation	is-part-of	Asia	Some Asian nations are part of Asia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Asian nation	is-part-of	Eurasia	Some Asian nations are part of Eurasia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Asian Russia	is-part-of	Asia	Some Asian Russia is part of Asia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Asian Russia	is-part-of	Eurasia	Some Asian Russia is part of Eurasia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Assam	is-part-of	Asia	Some Assam is part of Asia.	-	y	n	n	Thing	Thing	WordNet3.0
0.50	some	Assam	is-part-of	India	Some Assam is part of India.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	assembly line	is-part-of	factory	Most assembly lines are part of factories.	-	y	n	n	Thing	artifact_n1	WordNet3.0
0.50	some	asthenosphere	is-part-of	crust	Some asthenospheres are part of crust.	-	y	n	n	location_n1	location_n1	WordNet3.0
0.50	some	asthenosphere	is-part-of	lithosphere	Some asthenospheres are part of lithospheres.	-	y	n	n	location_n1	location_n1	WordNet3.0
1.00	most	atmosphere	is-part-of	world	Most atmospheres are part of worlds.	-	y	n	n	location_n1	Thing	WordNet3.0
0.01	some	atom	is-part-of	actin	Some atoms are part of actin.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	albumen	Some atoms are part of albumens.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	aluminium	Some atoms are part of aluminium.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	aluminum	Some atoms are part of aluminum.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	amylase	Some atoms are part of amylases.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	antibody	Some atoms are part of antibodies.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	antivenin	Some atoms are part of antivenins.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	argon	Some atoms are part of argon.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	arsenic	Some atoms are part of arsenic.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	beryllium	Some atoms are part of beryllium.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	blubber	Some atoms are part of blubber.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	boron	Some atoms are part of boron.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	bromine	Some atoms are part of bromine.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	cadmium	Some atoms are part of cadmium.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	calcium	Some atoms are part of calcium.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	carbohydrate	Some atoms are part of carbohydrates.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	carbon	Some atoms are part of carbon.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	cellulose	Some atoms are part of cellulose.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	charcoal	Some atoms are part of charcoal.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	chitin	Some atoms are part of chitin.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	chlorine	Some atoms are part of chlorine.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	chromium	Some atoms are part of chromium.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	cobalt	Some atoms are part of cobalt.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	coenzyme	Some atoms are part of coenzymes.	-	y	n	n	substance_n1	Thing	WordNet3.0
0.01	some	atom	is-part-of	collagen	Some atoms are part of collagen.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	copper	Some atoms are part of copper.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	cytokine	Some atoms are part of cytokines.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	deoxyribose	Some atoms are part of deoxyribose.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	element	Some atoms are part of elements.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	enzyme	Some atoms are part of enzymes.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	erythropoietin	Some atoms are part of erythropoietin.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	exon	Some atoms are part of exons.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	Fe	Some atoms are part of Fe.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	fluorine	Some atoms are part of fluorine.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	fructose	Some atoms are part of fructose.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	gelatin	Some atoms are part of gelatin.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	glucose	Some atoms are part of glucose.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	glycogen	Some atoms are part of glycogen.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	gold	Some atoms are part of gold.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	graphite	Some atoms are part of graphite.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	grease	Some atoms are part of grease.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	helium	Some atoms are part of helium.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	hemoglobin	Some atoms are part of hemoglobins.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	hydrogen	Some atoms are part of hydrogen.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	intron	Some atoms are part of introns.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	iodine	Some atoms are part of iodine.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	iron	Some atoms are part of irons.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	keratin	Some atoms are part of keratin.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	lactose	Some atoms are part of lactose.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	lead	Some atoms are part of lead.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	lipase	Some atoms are part of lipases.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	lipid	Some atoms are part of lipids.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	lithium	Some atoms are part of lithiums.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	magnesium	Some atoms are part of magnesium.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	mercury	Some atoms are part of mercury.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	metal	Some atoms are part of metal.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	molecule	Some atoms are part of molecules.	-	y	n	n	substance_n1	Thing	WordNet3.0
0.01	some	atom	is-part-of	monosaccharide	Some atoms are part of monosaccharides.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	myelin	Some atoms are part of myelin.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	myosin	Some atoms are part of myosin.	-	y	n	n	substance_n1	material_n1	WordNet3.0
0.01	some	atom	is-part-of	neon	Some atoms are part of neon.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	nickel	Some atoms are part of nickels.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	nitrogen	Some atoms are part of nitrogen.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	nonmetal	Some atoms are part of nonmetal.	-	y	n	n	substance_n1	element_n2	WordNet3.0
0.01	some	atom	is-part-of	oil	Some atoms are part of oil.	-	y	n	n	substance_n1	material_n1	WordNet3.0
